#ZVView-data-copy:   9-Jul-2018 12:59:22
#=======================================
#
#name:   ENDF/B-VIII.0: H-2(D,P`)H-3-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  250
#data...
#            X            Y
#          MeV        barns
     0.0126341   3.38275e-5
     0.0129062   3.78222e-5
     0.0131725   4.20378e-5
     0.0134302   4.64145e-5
     0.0136819   5.09823e-5
      0.013925   5.56758e-5
      0.014162   6.05272e-5
     0.0144709   6.72646e-5
     0.0147665   7.41684e-5
     0.0150492   8.11955e-5
     0.0153191   8.83039e-5
     0.0156986   9.89757e-5
     0.0160552  0.000109736
     0.0163823  0.000120248
     0.0166883  0.000130648
     0.0170702  0.000144412
     0.0174115  0.000157461
     0.0178596  0.000175681
     0.0183398  0.000196598
     0.0187414  0.000215223
     0.0191816  0.000236822
     0.0197234   0.00026514
      0.020255  0.000294887
     0.0207584  0.000324887
     0.0212417  0.000355299
     0.0219328  0.000401538
     0.0225726  0.000447233
      0.023176  0.000492874
     0.0239359  0.000553845
     0.0246211  0.000612152
      0.025511  0.000692516
     0.0262805  0.000766182
     0.0271647  0.000855535
     0.0278474  0.000927888
     0.0289037   0.00104549
          0.03    0.0011746
     0.0310984   0.00131192
     0.0325374   0.00150208
     0.0337927   0.00167705
     0.0352478   0.00188982
     0.0363801   0.00206235
     0.0381472   0.00234293
          0.04    0.0026508
     0.0422949   0.00305319
      0.044102    0.0033825
     0.0469585   0.00392229
          0.05    0.0045187
     0.0547723   0.00549956
          0.06    0.0066081
          0.07    0.0087999
     0.0848528    0.0120928
     0.0948683    0.0142721
      0.110668    0.0176648
       0.11941    0.0194614
      0.126416    0.0208391
      0.137704    0.0229393
          0.15      0.02506
      0.161185    0.0270615
      0.170119    0.0285679
      0.184455    0.0308202
      0.211474    0.0347382
      0.229932    0.0372409
          0.25     0.039674
           0.3     0.045267
          0.35     0.050048
           0.4     0.054171
          0.45     0.057752
           0.5     0.060878
          0.55     0.063616
           0.6     0.066023
          0.65     0.068143
      0.724569    0.0708377
           0.8     0.073137
           0.9     0.075593
             1     0.077536
           1.1      0.07908
         1.249    0.0808065
           1.5     0.082866
           2.1    0.0868008
           2.4    0.0880739
           2.8    0.0891675
           3.2    0.0897054
           3.4    0.0897995
       3.89872    0.0895922
           4.5    0.0888896
             5     0.088017
           5.5    0.0868432
       7.74597    0.0800995
             9     0.076912
            10     0.074896
//
#-------------------------------------------------------------------------------

